,NOME
0,John Lukacs
1,David Leavitt
2,Antoine Vitkine
3,William C. Taylor e Polly LaBarre
4,F. H. Hinsley & Alan Stripp
5,Stuart Ball
6,Leander Kahney
7,Abel Basti
8,Stephen E. Ambrose
9,Rui Moreira Lima
10,Simon Singh
11,Sylvia Goulding
12,Jim Selman
13,William Douglas
14,Henrique Rattner
15,"Luiz Eduardo Soares, André Batista, Rodrigo Pimentel"
16,"Luiz Eduardo Soares, Cláudio Ferraz, André Batista, Rodrigo Pimentel"
17,Alfred J. Keller
18,Fábio Braga de Alencar
19,"Grady Booch, James Rumbaugh, Ivar Jacobson"
20,Andrew S. Tanenbaum
21,Alfred Lansing
22,"Aguinaldo Aragon Fernandes, Vladimir Ferraz de Abreu"
23,Fabrício Mariano
24,Aurélio Buarque de Holanda Ferreira
25,Jesús Hernández
26,Sun Tzu
27,Diana Preston
28,Robert Falcon Scott
29,Bryan Mark Rigg
30,Max Hueber Verlag
31,Paul Strathern
32,Adriano da Gama Cury
33,Ana Bremon
34,H. Rider Haggard
35,Robert Harris
36,T. Harv Eker
37,James C. Hunter
38,Mark Finley
39,Nilson da Silva
40,Nelson Piletti
41,Elmasri & Navathe
42,H. M. Deitel & P. J. Deitel
43,Roger S. Pressman
44,Silberschatz – Galvin – Gagne
45,J. Glenn Brookshear
46,Herbert Schildt
47,Bernardinho
48,Ricardo Soares & William Douglas
49,Kim Heldman
50,Douglas E. Comer
51,"Nando Parrado, Vince Rause"
52,Stephen King
53,Cláudio Bojunga
54,Luís Augusto Símon e Marcelo Prado
55,C. G. SWEETING 
56,"TEC, NECHAMA"
57,"RASHKE, RICHARD"
58,LAROUSSE EDITORIAL
59,ALBERTO DELLISOLA
60,Fernando Jorge
61,Padre Fábio de Melo
62,Graciliano Ramos
63,Olivier Ninge & Simonne Mortera
64,Ana Beatriz Barbosa Silva
65,Nilson Teixeira de Almeida
66,Carlos Saldanha Maranhão
67,Stormie Omartian
68,Antonio Mendez & Matt Baglio
69,Armando de Ramón
70,Ruth & Elmer Towns
71,Cristiano Arcoverde
72,Ellen G. White
73,Abe Huber
74,Kenneth E. Hagin
75,Charles Sheldon
76,Sheila Walsh
77,Nonna Bannister
78,Bernard W. Snelgrove
79,Dave Roberson
80,Kenneth E. Hagin e Kenneth Hagin Jr.
81,Alejandro Bullón
82,Walter Nather Jr.
83,Ricardo R. Lecheta
84,Mary Kay Ash
85,Carlos Ruiz Zafón
86,Nigel Cawthorne
87,Ignácio de Loyola Brandão
88,William P. Young
89,Lúcio Barreto Jr
90,Davi Lago e Lúcio Barreto Jr
91,Perilo Borba
92,Lúcio Barreto Jr & Davi Lago
93,Arilton Oliveira
94,Sandra Santos
95,Max Lucado
96,Loron Wade
97,Elvis Oliveira
98,Lúcio Barreto Jr & Richarde Guerra
99,Charles M. Sheldon
100,Eça de Queirós
101,Victoria Keller
102,Elias Freire
103,Alceu Luiz Pazzinato & Maria Helena Valente Senise
104,Richard Acklam with Sally Burgess
105,Billy Graham
106,Jesse Lyman Hurlbut
107,Benny Hinn
108,Sarah Young
109,Liao Yiwu
110,Miroslav Volf
111,Rice Broocks
112,Franklin Ferreira
113,Paulo Vieira
114,Anthony Burgess
115,Nilton Pereira da Cunha
116,Augusto Cury
117,Janio Cesar
118,Joyce Meyer
119,Frederico Pernambuco de Mello
120,Julie Orringer
121,Jimmy Swaggart
122,Tony Cooke
123,Fernandes Oliveira
124,Fernando Morais
125,Assuero Seixas
126,Josué Gonçalves
127,Jorge Linhares
128,Bud Wright
129,Jedida Ferro
130,Rick Renner
131,E. W. Kenyon
132,T. L. Osborn
133,Charles Capps
134,Mark W. Baker
135,Silas Malafaia
136,Walter Nather Jr
137,Sherry Argov
138,Laurentino Gomes
139,Eduardo Bueno
140,Daniel Souza
141,Kenneth W. Hagin
142,Simon Potter
143,Mark hankins
144,Myrna Grant
145,C.S. Lewis
146,Nancy Dufresne
147,Rick Warren
148,Mark Hankins
149,Elizabeth George
150,Dag Tessore
151,David Emigh
152,Luís Gonçalves/Diogo Cavalcanti
153,Abraão de Almeida
154,Alexandre Lopes
155,Dr. Ismael Sobrinho
156,Tim LaHaye
157,Luciano & Kelly Subirá
158,David Murray
159,Irmão Yun com Paul Hattaway
160,Shona & David Murray
161,Corrie Ten Boom com Elizabeth e John Sherril
162,Kenneth Hagin Jr
163,Godofredo Couto
164,André Martins
165,Alex Moriá
166,Dong Yu Lan
167,Pedro Dong
168,Mosab Hassan Yousef
169,Dra. Caroline Leaf
170,Hernandes Dias Lopes
171,Jason Diamantino
