ID,NOME
1,Jorge Zahar Editor
2,Novo Conceito
3,Nova Fronteira
4,Sextante
5,Oxford
6,Agir
7,Bertrand Brasil
8,Incaer
9,Record
10,PubliFolha
11,Lonely planet
12,Pearson Prentice Hall
13,Campus Concursos
14,Nobel
15,Objetiva
16,Ciranda Cultural
17,Melhoramentos
18,Campus
19,Brasport
20,Madras
21,Editora 34
22,Alegro
23,Imago
24,Abril
25,Hueber
26,JORGE ZAHAR EDITOR
27,FTD
28,Cambridge University Press
29,Penguin Popular Classics
30,Ballantine Books
31,Casa Publicadora Brasileira
32,RiMa
33,Ática
34,Bestbolso
35,Wizard Brasil Franchising
36,Hal-Leonard
37,LTC
38,Bookman
39,McGrawHill
40,Makron Books
41,Abril Coleções
42,Ponto de Leitura
43,Leitura
44,JARDIM DOS LIVROS
45,RECORD
46,8INVERSO
47,LAROUSSE DO BRASIL
48,UNIVERSO DOS LIVROS
49,Geração Editorial
50,Planeta do Brasil
51,Editora Vozes
52,Fontanar
53,Saraiva
54,Mundo Cristão
55,Intríseca
56,Catalonia
57,Central Gospel
58,Galas Ediciones
59,Comunicação eficaz produções
60,Sociedade Bíblica do Brasil
61,Graça Editora
62,Thomas Nelson Brasil
63,Novo Século
64,Editora Verdade Viva
65,Ministério Verdade Viva
66,Willem Books
67,Novatec
68,Editora Kactus
69,CLA Editora
70,Suma de Letras
71,Gente Editora
72,Arqueiro
73,Editora Basileia 
74,Editora Central Gospel
75,Editora Basileia
76,Livro Rápido
77,Premius Editora
78,Editora Escala
79,Belotur
80,Editora Abril
81,Sociedade Bíblica Brasileira
82,IBEP
83,Longman
84,MC
85,Vida Acadêmica
86,Fiel Editora
87,Editora Aleph
88,Editora Universidade UFPE
89,Orvalho.com
90,Bello  Publicações
91,Graça Editorial
92,Adhonep
93,Massangana
94,Companhia das Letras
95,JCS Editora
96,Ministério Jimmy Swaggart
97,Rhema Brasil
98,Babecco
99,Julián Melgosa e Michelson Borges
100,Coleção Legado Bud Wright
101,Willën books
102,Getsêmani
103,Disney Pixar
104,CCS Gráfica e Editora
105,Coleção EI
106,Rhema Brasil Publicações
107,Wizard
108,Mensagem para Todos
109,Ediouro
110,Rhema Brasil publicações
111,Frutos do Espírito
112,Editora Betânia
113,Editora Vida
114,Academia
115,United Press
116,Paulinas
117,Culturama
118,bvbooks
119,Luz e Vida
120,Lynne Hammond/Patsy Cameneti
121,Otávio Lino/Marcio Sanches
122,Geográfica Editora
123,Cristiano Arcoverde Comunicações e Treinamentos
124,Vida
125,Bello Publicações
126,Editoria Betânia
127,Cristiano Arcoverde Comunicação e Treinamentos
128,Editora Árvore da Vida
129,Chara
130,Hagnos
131,Alethos Editorial
